nSNPs,inputSize,elapsedTime,memoryUsage,outputSize
2,75179,0.3239725,35253472,72980
5,90241,0.3227229,35799016,254595
10,115354,0.3037794,36019664,300702
20,165568,0.3327246,36458656,897748
50,316222,0.4356554,37776432,2468697
100,567313,0.5748534,40080128,4934522
200,1069521,0.9180577,45039440,9810006
500,2576173,2.362104,62685064,24151632
1000,5086977,7.014908,101841032,47785365
2000,10109474,55.38461,216161240,94125788
5000,25177771,773.3922,846097608,230662684
10000,50289223,4693.6692,2857586104,459434012
